state,county,tract,NAME,pct_bach,median_income,total_pop,sex_ratio,pct_white,median_age,pct_no_car,pct_unemp,age_18_29,pct_age_18_29
17,031,430200,"Census Tract 4302, Cook County, Illinois",12.2,22945,4961,54.6,8.5,33.7,54.1,10.7,917,18.484176577302964
17,031,430500,"Census Tract 4305, Cook County, Illinois",5.5,18432,3569,90.5,1.5,32.5,57.8,10.3,500,14.009526478005045
17,031,431400,"Census Tract 4314, Cook County, Illinois",10.0,28952,6979,64.5,7.8,40.2,44.5,9.7,977,13.999140277976787
17,031,440700,"Census Tract 4407, Cook County, Illinois",8.9,37228,1440,79.6,2.6,53.3,32.6,10.5,195,13.541666666666666
17,031,470100,"Census Tract 4701, Cook County, Illinois",7.2,25287,2336,103.5,2.0,45.3,39.0,12.1,391,16.738013698630137
17,031,821402,"Census Tract 8214.02, Cook County, Illinois",5.4,49300,2997,101.7,3.2,47.8,10.8,8.5,177,5.905905905905906
17,031,822101,"Census Tract 8221.01, Cook County, Illinois",8.7,70030,4265,90.8,84.4,40.0,3.5,3.3,632,14.81828839390387
17,031,823102,"Census Tract 8231.02, Cook County, Illinois",6.3,71830,3509,102.5,88.9,43.1,6.3,1.4,554,15.78797378170419
17,031,823304,"Census Tract 8233.04, Cook County, Illinois",7.6,49014,6138,106.4,65.5,37.6,12.9,9.8,913,14.874551971326163
17,031,824507,"Census Tract 8245.07, Cook County, Illinois",8.3,61774,4291,83.9,83.8,42.5,9.4,6.0,482,11.232812864134234
17,031,824800,"Census Tract 8248, Cook County, Illinois",3.3,46156,7440,104.2,71.7,27.5,9.3,8.7,976,13.118279569892474
17,031,824900,"Census Tract 8249, Cook County, Illinois",4.2,34000,3301,62.9,23.1,31.7,8.0,9.7,537,16.267797637079674
17,031,825400,"Census Tract 8254, Cook County, Illinois",10.0,63191,5099,71.7,92.1,41.7,12.2,4.8,704,13.806628750735438
17,031,825501,"Census Tract 8255.01, Cook County, Illinois",6.3,48975,5257,84.5,8.3,42.7,15.3,7.5,777,14.780292942743008
17,031,825503,"Census Tract 8255.03, Cook County, Illinois",9.2,58531,6919,91.9,15.0,39.8,5.0,4.2,1107,15.999421881774822
17,031,825505,"Census Tract 8255.05, Cook County, Illinois",11.8,62602,5893,80.8,6.9,40.9,3.0,10.3,864,14.661462752418123
17,031,826202,"Census Tract 8262.02, Cook County, Illinois",3.9,39375,5676,62.4,34.2,34.1,8.4,13.6,1008,17.758985200845668
17,031,803603,"Census Tract 8036.03, Cook County, Illinois",26.5,157125,6827,99.5,76.9,46.0,1.6,0.8,758,11.102973487622675
17,031,803610,"Census Tract 8036.10, Cook County, Illinois",21.8,65639,7294,86.8,68.7,34.8,2.8,1.8,1125,15.423635865094598
17,031,804201,"Census Tract 8042.01, Cook County, Illinois",32.5,148670,8784,86.9,68.1,47.2,2.2,2.1,527,5.999544626593807
17,031,817500,"Census Tract 8175, Cook County, Illinois",2.3,32900,3388,87.1,6.8,40.7,23.6,9.9,563,16.617473435655253
17,031,817700,"Census Tract 8177, Cook County, Illinois",4.9,61250,5264,119.2,13.7,45.0,4.4,7.8,813,15.44452887537994
17,031,817900,"Census Tract 8179, Cook County, Illinois",4.6,47847,5717,100.6,15.0,46.9,18.5,9.6,769,13.451110722406856
17,031,821401,"Census Tract 8214.01, Cook County, Illinois",6.9,43560,4202,96.0,6.8,34.6,11.2,11.0,889,21.156592099000477
17,031,820104,"Census Tract 8201.04, Cook County, Illinois",9.9,60000,4113,100.6,88.9,43.6,8.7,1.9,664,16.14393386822271
17,031,820201,"Census Tract 8202.01, Cook County, Illinois",19.6,106317,7653,102.8,86.9,48.5,4.1,2.5,577,7.53952698288253
17,031,821200,"Census Tract 8212, Cook County, Illinois",7.0,39939,6215,104.8,32.6,36.0,13.3,5.1,1283,20.643604183427193
17,031,821600,"Census Tract 8216, Cook County, Illinois",8.6,64102,4428,83.7,51.2,39.6,2.7,1.4,777,17.547425474254744
17,031,821700,"Census Tract 8217, Cook County, Illinois",17.0,87500,4691,86.7,80.5,40.4,4.7,1.6,548,11.681944148369219
17,031,822102,"Census Tract 8221.02, Cook County, Illinois",17.6,54004,4974,81.7,63.6,43.8,13.7,5.2,767,15.420184961801366
17,031,222600,"Census Tract 2226, Cook County, Illinois",16.0,80735,1573,102.2,80.8,31.1,18.6,4.2,491,31.214240305149392
17,031,230800,"Census Tract 2308, Cook County, Illinois",5.7,55365,1425,94.4,37.8,32.3,2.5,8.2,236,16.561403508771928
17,031,240700,"Census Tract 2407, Cook County, Illinois",22.1,76875,1752,117.1,81.0,31.0,23.2,3.8,450,25.684931506849317
17,031,241000,"Census Tract 2410, Cook County, Illinois",14.8,65900,2096,101.5,64.3,31.4,18.8,3.3,519,24.76145038167939
17,031,061200,"Census Tract 612, Cook County, Illinois",31.0,112292,1961,112.9,89.5,27.3,30.9,0.8,837,42.68230494645589
17,031,061500,"Census Tract 615, Cook County, Illinois",29.1,125000,1888,121.9,89.5,29.2,19.3,2.5,812,43.00847457627119
17,031,062900,"Census Tract 629, Cook County, Illinois",32.5,128750,3818,128.8,88.3,29.3,26.3,2.0,1560,40.85908852802515
17,031,210700,"Census Tract 2107, Cook County, Illinois",13.9,64569,4392,105.7,82.8,32.7,18.7,4.5,912,20.76502732240437
17,031,221100,"Census Tract 2211, Cook County, Illinois",13.4,55194,5207,90.2,74.9,31.8,28.6,4.3,1516,29.114653351257925
17,031,221200,"Census Tract 2212, Cook County, Illinois",25.4,91354,2917,107.0,81.6,30.9,20.3,3.9,946,32.430579362358586
17,031,063000,"Census Tract 630, Cook County, Illinois",36.1,99213,3448,109.5,76.8,29.7,36.6,2.1,1331,38.60208816705337
17,031,071200,"Census Tract 712, Cook County, Illinois",29.2,109191,2024,85.5,81.8,30.5,38.0,1.5,674,33.300395256917
17,031,081500,"Census Tract 815, Cook County, Illinois",49.1,103664,4585,84.5,69.8,36.2,32.0,1.2,1022,22.290076335877863
17,031,090300,"Census Tract 903, Cook County, Illinois",17.8,97102,1378,112.3,94.4,40.7,3.0,0.4,173,12.5544267053701
17,031,130300,"Census Tract 1303, Cook County, Illinois",12.7,56882,5482,93.8,58.7,33.9,14.9,7.0,1236,22.54651587012039
17,031,100600,"Census Tract 1006, Cook County, Illinois",9.5,75601,4789,99.5,84.6,43.4,6.3,2.0,517,10.79557318855711
17,031,110400,"Census Tract 1104, Cook County, Illinois",16.6,69736,4467,85.3,74.3,42.1,10.7,3.5,552,12.357286769644055
17,031,120200,"Census Tract 1202, Cook County, Illinois",29.3,105833,4725,93.9,77.4,43.5,4.4,3.4,403,8.529100529100528
17,031,691000,"Census Tract 6910, Cook County, Illinois",11.4,36806,2550,96.3,0.2,42.9,26.5,12.3,370,14.50980392156863
17,031,710400,"Census Tract 7104, Cook County, Illinois",4.5,35274,5514,80.4,0.8,39.3,26.8,11.9,924,16.75734494015234
17,031,740400,"Census Tract 7404, Cook County, Illinois",14.6,85798,4552,86.3,84.6,38.0,7.2,3.2,694,15.246045694200353
17,031,770800,"Census Tract 7708, Cook County, Illinois",4.9,58909,5464,111.9,85.7,41.5,11.8,2.3,823,15.062225475841872
17,031,800800,"Census Tract 8008, Cook County, Illinois",33.9,93906,2278,95.2,89.1,48.5,3.7,0.4,179,7.857769973661107
17,031,081000,"Census Tract 810, Cook County, Illinois",27.0,60566,7439,92.9,68.2,32.0,61.4,1.7,3081,41.41685710444952
17,031,030400,"Census Tract 304, Cook County, Illinois",22.8,50781,2582,96.2,81.0,40.4,20.6,5.4,409,15.840433772269558
17,031,480100,"Census Tract 4801, Cook County, Illinois",8.5,61495,2192,87.4,0.8,49.4,15.8,4.6,229,10.447080291970803
17,031,491100,"Census Tract 4911, Cook County, Illinois",9.8,41167,4160,98.5,2.5,49.5,20.3,7.8,461,11.081730769230768
17,031,491300,"Census Tract 4913, Cook County, Illinois",4.1,30000,2605,91.3,2.6,36.1,33.4,14.3,530,20.34548944337812
17,031,510100,"Census Tract 5101, Cook County, Illinois",1.1,36081,3077,77.8,72.6,34.8,20.1,11.6,533,17.32206694832629
17,031,520100,"Census Tract 5201, Cook County, Illinois",3.0,41875,1810,88.0,76.6,37.9,14.0,6.7,315,17.403314917127073
17,031,530100,"Census Tract 5301, Cook County, Illinois",1.8,35875,2236,97.9,55.7,35.5,32.3,11.7,467,20.88550983899821
17,031,530200,"Census Tract 5302, Cook County, Illinois",4.8,36448,3920,75.3,0.8,34.7,27.7,15.0,725,18.494897959183675
17,031,560100,"Census Tract 5601, Cook County, Illinois",2.5,62059,1539,96.1,44.6,43.4,8.8,3.8,212,13.775178687459388
