,year,month,day,hour,hour_temp,hour_wind,hour_prec
0,2018,1,1,0,-12.0,8.0,0.0
1,2018,1,1,1,-13.0,10.0,0.0
2,2018,1,1,2,-14.0,11.0,0.0
4,2018,1,1,3,-15.0,11.0,0.0
5,2018,1,1,4,-15.0,9.0,0.0
6,2018,1,1,5,-16.0,13.0,0.0
7,2018,1,1,6,-16.0,10.0,0.0
8,2018,1,1,7,-16.0,9.0,0.0
9,2018,1,1,8,-15.0,10.0,0.0
11,2018,1,1,9,-15.0,11.0,0.0
12,2018,1,1,10,-13.0,10.0,0.0
13,2018,1,1,11,-11.0,10.0,0.0
14,2018,1,1,12,-10.0,11.0,0.0
15,2018,1,1,13,-10.0,11.0,0.0
16,2018,1,1,14,-9.0,13.0,0.0
18,2018,1,1,15,-10.0,11.0,0.0
19,2018,1,1,16,-10.0,9.0,0.0
20,2018,1,1,17,-10.0,11.0,0.0
21,2018,1,1,18,-11.0,11.0,0.0
22,2018,1,1,19,-11.0,10.0,0.0
23,2018,1,1,20,-11.0,9.0,0.0
25,2018,1,1,21,-12.0,7.0,0.0
26,2018,1,1,22,-12.0,9.0,0.0
27,2018,1,1,23,-12.0,9.0,0.0
29,2018,1,2,0,-12.0,8.0,0.0
30,2018,1,2,1,-11.0,9.0,0.0
31,2018,1,2,2,-12.0,8.0,0.0
33,2018,1,2,3,-13.0,9.0,0.0
34,2018,1,2,4,-13.0,7.0,0.0
35,2018,1,2,5,-14.0,8.0,0.0
36,2018,1,2,6,-14.0,8.0,0.0
37,2018,1,2,7,-15.0,11.0,0.0
38,2018,1,2,8,-14.0,8.0,0.0
40,2018,1,2,9,-12.0,9.0,0.0
41,2018,1,2,10,-11.0,13.0,0.0
42,2018,1,2,11,-8.0,13.0,0.0
43,2018,1,2,12,-6.0,17.0,0.0
44,2018,1,2,13,-5.0,14.0,0.0
45,2018,1,2,14,-6.0,16.0,0.0
47,2018,1,2,15,-7.0,11.0,0.0
48,2018,1,2,16,-6.0,13.0,0.0
49,2018,1,2,17,-7.0,15.0,0.0
50,2018,1,2,18,-7.0,14.0,0.0
51,2018,1,2,19,-6.0,15.0,0.0
52,2018,1,2,20,-5.0,14.0,0.0
54,2018,1,2,21,-3.0,11.0,0.0
55,2018,1,2,22,-2.0,13.0,0.0
56,2018,1,2,23,-1.0,11.0,0.0
58,2018,1,3,0,0.0,15.0,0.0
59,2018,1,3,1,1.0,13.0,0.0
60,2018,1,3,2,2.0,10.0,0.0
62,2018,1,3,3,4.0,14.0,0.0
65,2018,1,3,4,6.0,10.0,0.0
66,2018,1,3,5,8.0,13.0,0.0
67,2018,1,3,6,9.0,10.0,0.0
68,2018,1,3,7,10.0,9.0,0.0
69,2018,1,3,8,11.0,10.0,0.0
72,2018,1,3,9,11.0,10.0,0.0
74,2018,1,3,10,9.0,13.0,0.0
76,2018,1,3,11,9.0,11.0,0.0
77,2018,1,3,12,7.0,17.0,0.0
78,2018,1,3,13,6.0,16.0,0.0
79,2018,1,3,14,5.0,17.0,0.0
81,2018,1,3,15,4.0,15.0,0.0
82,2018,1,3,16,4.0,11.0,0.0
83,2018,1,3,17,3.0,11.0,0.0
87,2018,1,3,18,2.0,13.0,0.0
89,2018,1,3,19,1.0,15.0,0.0
90,2018,1,3,20,1.0,17.0,0.0
92,2018,1,3,21,0.0,10.0,0.0
93,2018,1,3,22,-1.0,14.0,0.0
94,2018,1,3,23,-2.0,15.0,0.0
96,2018,1,4,0,-3.0,15.0,0.0
97,2018,1,4,1,-4.0,15.0,0.0
98,2018,1,4,2,-4.0,14.0,0.0
100,2018,1,4,3,-5.0,14.0,0.0
101,2018,1,4,4,-5.0,14.0,0.0
102,2018,1,4,5,-6.0,14.0,0.0
103,2018,1,4,6,-6.0,10.0,0.0
105,2018,1,4,7,-4.0,11.0,0.0
107,2018,1,4,8,-5.0,9.0,0.0
109,2018,1,4,9,-3.0,13.0,0.0
110,2018,1,4,10,-4.0,14.0,0.0
111,2018,1,4,11,-4.0,15.0,0.0
112,2018,1,4,12,-4.0,13.0,0.0
113,2018,1,4,13,-2.0,11.0,0.0
114,2018,1,4,14,-3.0,13.0,0.0
116,2018,1,4,15,-3.0,10.0,0.0
117,2018,1,4,16,-4.0,10.0,0.0
118,2018,1,4,17,-4.0,14.0,0.0
119,2018,1,4,18,-4.0,11.0,0.0
120,2018,1,4,19,-4.0,10.0,0.0
121,2018,1,4,20,-4.0,8.0,0.0
123,2018,1,4,21,-4.0,7.0,0.0
124,2018,1,4,22,-4.0,5.0,0.0
125,2018,1,4,23,-4.0,6.0,0.0
127,2018,1,5,0,-4.0,6.0,0.0
128,2018,1,5,1,-5.0,8.0,0.0
129,2018,1,5,2,-5.0,9.0,0.0
131,2018,1,5,3,-5.0,10.0,0.0
132,2018,1,5,4,-6.0,7.0,0.0
133,2018,1,5,5,-6.0,7.0,0.0
134,2018,1,5,6,-7.0,10.0,0.0
135,2018,1,5,7,-7.0,11.0,0.0
136,2018,1,5,8,-7.0,20.0,0.0
138,2018,1,5,9,-6.0,20.0,0.0
139,2018,1,5,10,-6.0,16.0,0.0
140,2018,1,5,11,-5.0,14.0,0.0
141,2018,1,5,12,-5.0,14.0,0.0
142,2018,1,5,13,-5.0,13.0,0.0
143,2018,1,5,14,-6.0,13.0,0.0
145,2018,1,5,15,-6.0,11.0,0.0
146,2018,1,5,16,-6.0,9.0,0.0
147,2018,1,5,17,-5.0,9.0,0.0
148,2018,1,5,18,-5.0,7.0,0.0
149,2018,1,5,19,-5.0,7.0,0.0
150,2018,1,5,20,-5.0,8.0,0.0
152,2018,1,5,21,-6.0,8.0,0.0
153,2018,1,5,22,-6.0,6.0,0.0
154,2018,1,5,23,-6.0,7.0,0.0
156,2018,1,6,0,-6.0,7.0,0.0
157,2018,1,6,1,-6.0,7.0,0.0
158,2018,1,6,2,-6.0,8.0,0.0
160,2018,1,6,3,-7.0,8.0,0.0
161,2018,1,6,4,-8.0,6.0,0.0
162,2018,1,6,5,-8.0,6.0,0.0
163,2018,1,6,6,-8.0,9.0,0.0
164,2018,1,6,7,-7.0,7.0,0.0
165,2018,1,6,8,-6.0,6.0,0.0
167,2018,1,6,9,-4.0,8.0,0.0
168,2018,1,6,10,-4.0,9.0,0.0
169,2018,1,6,11,-4.0,6.0,0.0
170,2018,1,6,12,-3.0,3.0,0.0
171,2018,1,6,13,-4.0,0.0,0.0
172,2018,1,6,14,-3.0,5.0,0.0
174,2018,1,6,15,-5.0,3.0,0.0
175,2018,1,6,16,-5.0,6.0,0.0
176,2018,1,6,17,-3.0,6.0,0.0
177,2018,1,6,18,-2.0,8.0,0.0
178,2018,1,6,19,-1.0,8.0,0.0
179,2018,1,6,20,-2.0,8.0,0.0
181,2018,1,6,21,-4.0,8.0,0.0
182,2018,1,6,22,-5.0,6.0,0.0
183,2018,1,6,23,-4.0,7.0,0.0
185,2018,1,7,0,-3.0,11.0,0.0
186,2018,1,7,1,0.0,11.0,0.0
187,2018,1,7,2,1.0,9.0,0.0
189,2018,1,7,3,2.0,13.0,0.0
190,2018,1,7,4,4.0,15.0,0.0
191,2018,1,7,5,8.0,16.0,0.0
192,2018,1,7,6,6.0,18.0,0.0
193,2018,1,7,7,6.0,16.0,0.0
194,2018,1,7,8,7.0,16.0,0.0
196,2018,1,7,9,9.0,16.0,0.0
197,2018,1,7,10,12.0,16.0,0.0
198,2018,1,7,11,14.0,15.0,0.0
199,2018,1,7,12,15.0,18.0,0.0
201,2018,1,7,13,22.0,14.0,0.0
203,2018,1,7,14,21.0,15.0,0.0
206,2018,1,7,15,22.0,15.0,0.0
208,2018,1,7,16,23.0,15.0,0.0
211,2018,1,7,17,24.0,14.0,0.0
212,2018,1,7,18,23.0,16.0,0.0
213,2018,1,7,19,24.0,14.0,0.0
215,2018,1,7,20,27.0,15.0,0.0
218,2018,1,7,21,29.0,17.0,0.01
221,2018,1,7,22,30.0,13.0,0.02
222,2018,1,7,23,31.0,14.0,0.0
224,2018,1,8,0,32.0,13.0,0.0
225,2018,1,8,1,33.0,14.0,0.0
226,2018,1,8,2,33.0,17.0,0.0
228,2018,1,8,3,33.0,11.0,0.0
229,2018,1,8,4,33.0,17.0,0.0
230,2018,1,8,5,32.0,15.0,0.0
231,2018,1,8,6,32.0,11.0,0.0
234,2018,1,8,7,31.0,8.0,0.0
235,2018,1,8,8,30.0,10.0,0.0
237,2018,1,8,9,30.0,13.0,0.0
239,2018,1,8,10,29.0,16.0,0.0
240,2018,1,8,11,29.0,15.0,0.0
241,2018,1,8,12,29.0,16.0,0.0
242,2018,1,8,13,29.0,14.0,0.0
243,2018,1,8,14,29.0,15.0,0.0
245,2018,1,8,15,29.0,13.0,0.0
246,2018,1,8,16,29.0,13.0,0.0
247,2018,1,8,17,29.0,11.0,0.0
248,2018,1,8,18,29.0,11.0,0.0
249,2018,1,8,19,29.0,15.0,0.0
250,2018,1,8,20,29.0,10.0,0.0
252,2018,1,8,21,28.0,10.0,0.0
253,2018,1,8,22,28.0,7.0,0.0
254,2018,1,8,23,28.0,7.0,0.0
256,2018,1,9,0,27.0,6.0,0.0
257,2018,1,9,1,27.0,5.0,0.0
258,2018,1,9,2,27.0,6.0,0.0
260,2018,1,9,3,27.0,6.0,0.0
261,2018,1,9,4,27.0,7.0,0.0
262,2018,1,9,5,28.0,8.0,0.0
264,2018,1,9,6,28.0,5.0,0.0
267,2018,1,9,7,28.0,7.0,0.0
268,2018,1,9,8,28.0,9.0,0.0
272,2018,1,9,9,28.0,6.0,0.0
273,2018,1,9,10,28.0,5.0,0.0
276,2018,1,9,11,29.0,5.0,0.0
277,2018,1,9,12,29.0,3.0,0.0
279,2018,1,9,13,29.0,7.0,0.0
280,2018,1,9,14,29.0,6.0,0.0
282,2018,1,9,15,29.0,6.0,0.0
283,2018,1,9,16,29.0,7.0,0.0
285,2018,1,9,17,29.0,6.0,0.0
286,2018,1,9,18,29.0,9.0,0.0
287,2018,1,9,19,29.0,10.0,0.0
289,2018,1,9,20,29.0,7.0,0.0
291,2018,1,9,21,28.0,7.0,0.0
292,2018,1,9,22,28.0,7.0,0.0
294,2018,1,9,23,29.0,8.0,0.0
