,distance_haversine,trip_direction,Fare,Additional Charges,work_day,month,hour,hour_temp,hour_wind,rain,metro_x,metro_y,pick_dist_dt,drop_dist_dt,pct_bach_x,median_income_x,sex_ratio_x,pct_non_white_x,pct_age_18_29_x,pct_no_car_x,pct_bach_y,median_income_y,sex_ratio_y,pct_non_white_y,median_age_y,pct_no_car_y,residential_den_x,empoloyment_den_x,network_den_x,dist_to_tran_x,walkability_x,residential_den_y,empoloyment_den_y,network_den_y,dist_to_tran_y,walkability_y
1015925,2.922208682400713,154.96841488546215,7.5,0.0,1,4,17,29.0,9.0,0,0,1,5.581928459274581,8.160092918891756,26.0,116364,109.8,17.799999999999994,22.605790645879733,14.3,28.7,119432,107.6,23.700000000000006,26.5,24.2,-0.8953199533141669,-1.225430488247952,1.5818548745736345,348.2286206896552,11.492907801418443,-2.447617401843128,-2.5141671439889146,0.6767032044135187,328.98769230769227,7.976851851851853
7377,8.248070159903932,-83.8523835334961,12.5,2.55,1,9,14,61.0,13.0,0,1,1,11.803922843959267,3.8808259597283183,21.8,99440,86.3,25.90000000000001,27.615726062143306,25.0,21.8,40195,98.6,33.8,40.5,52.2,1.5803802812982484,3.1850715026539937,3.086486567276955,310.8025,16.5,-0.9788300088018951,-1.872053665129639,1.4689854015108506,400.4185714285714,8.398550724637682
1415854,1.4388515333335659,-140.7103291016818,10.0,0.0,1,6,9,47.0,20.0,0,1,0,3.0159253669250936,2.2474063365515717,35.4,128243,107.1,14.599999999999996,24.458110696642805,27.2,39.6,133079,85.4,14.0,57.2,31.7,-0.7007188575579879,0.1802263447428147,1.4527003679120625,275.3755555555556,11.5679012345679,3.8562680000920153,3.4409018210011397,3.9359483645839046,239.055,13.374999999999998
1279624,3.4365838071418056,-35.68811733207033,5.0,0.0,0,1,2,7.0,16.0,0,0,1,9.364512486749751,6.20815405235572,40.1,92441,117.7,15.200000000000005,38.47770254494514,29.9,29.5,105513,97.7,6.200000000000002,35.4,19.8,-3.7376970296958256,-3.9029223303159513,0.5918363562720218,333.06347826086966,7.401960784313724,-2.204360336539236,-2.14793329927766,1.0065442257835946,372.4184615384616,8.108843537414968
49776,5.3983843666284645,147.08468728863198,10.0,2.55,1,9,11,68.0,10.0,0,0,0,9.772861965879908,14.389482898443296,9.8,48067,106.1,60.3,20.02012072434608,13.6,35.1,69590,89.4,30.3,37.8,32.3,-1.3703223685114208,-1.6744021729531509,1.3367544209666269,440.6642105263157,8.519607843137253,-1.1536411116435037,-1.1204832465108638,1.5028514378168358,382.6448780487805,10.261363636363637
1475106,3.1567933154989314,32.498414299892204,7.5,0.0,1,2,23,33.0,0.0,0,0,0,15.155489534646726,15.885446185225625,20.1,72572,88.1,30.599999999999994,12.135377711293941,16.0,17.4,43438,87.0,33.90000000000001,50.0,29.8,-2.0911334668679773,-2.0019538536768047,0.9955451785818672,573.5527777777778,7.692708333333335,-3.2188388380760014,-3.9361395383803286,0.2708794169887257,307.56428571428575,10.042735042735039
1151528,3.9660083361195886,45.05136693461072,2.5,2.55,0,7,2,66.0,9.0,0,0,1,5.4037608069589576,6.813672761850888,31.8,97305,106.4,13.5,40.897325280414144,37.9,25.2,104167,102.6,16.599999999999994,30.7,26.9,1.4600233045697242,1.4566788198468767,3.0584469846619395,523.656923076923,14.461538461538463,1.0135070976350031,0.4445617782460946,2.6331810518325804,237.8233333333333,11.696969696969699
782739,4.266242907272494,109.53708549147284,2.5,2.55,1,10,13,34.0,8.0,0,0,1,1.0683666025646807,5.221615868528265,39.4,93529,120.0,18.200000000000006,30.57955742887249,43.0,43.7,116909,92.3,24.099999999999994,38.1,42.3,-1.4483260562277642,-1.8233468420353904,1.191291793024282,252.2518181818181,10.652173913043477,-1.5746798528603168,-0.1882143687453562,1.1431056366278582,377.6207142857143,10.62
83213,5.919656392288863,117.39028368535871,7.5,2.55,1,3,20,23.0,6.0,0,0,1,1.0683666025646807,6.813672761850888,31.8,97305,106.4,13.5,40.897325280414144,37.9,43.7,116909,92.3,24.099999999999994,38.1,42.3,1.4600233045697242,1.4566788198468767,3.0584469846619395,523.656923076923,14.461538461538463,-1.5746798528603168,-0.1882143687453562,1.1431056366278582,377.6207142857143,10.62
270230,7.092411117789942,-176.71103993372284,12.5,2.55,1,3,8,34.0,11.0,0,0,0,9.772861965879908,12.651185165210705,16.8,56790,83.2,30.599999999999994,23.405951115834217,26.6,35.1,69590,89.4,30.3,37.8,32.3,-1.1344789919106817,-0.9839616769393196,1.4071245824291059,338.15214285714285,9.30555555555556,-1.1536411116435037,-1.1204832465108638,1.5028514378168358,382.6448780487805,10.261363636363637
